symptoms	sentences
counter-current	I can't breathe well, it's related to the reflux of stomach acid, and there's a certain psychological element.
blood in stool,hemorrhoid	Hemorrhaging may occur if only on the surface of the poop.
hemorrhoid	Hemorrhoids can be used as an anus for horse-celebration mussels, which should be soft and lubricated first. You usually drink more water, you keep your shit tight, and you don't have to take it easy.
blood in stool	You have to make sure that there's blood in the poop, first you have to do a poo invisibility test, and if you're positive, you have to do an intestinal mirror.
hemorrhoid	I don't know if you've lost a lot of blood.
abdominal distention	Milk is easy to breathe and not recommended to drink too much.
blood in stool	It's okay if the shit's invisible and negative.
black poo	Black poop generally considers digestive hemorrhage, i.e. stomach hemorrhage.
indigestion	If opened up, it would be the indigestion of the elderly and the slow flow of the gastrointestinal tract.
restlessness	(you u u u u up)
counter-current	As a result of the cerebral reflux, it is recommended that Estella be added to Day and Movable.
diarrhea	Will there be diarrhea?
helicobacter infection	This one looks like a phantom rotor.
stomach ache	If your stomach hurts, you can buy a gum capsule.
difficult eating	I don't have an appetite. I can buy monkeys from the river, but I have to eat on time.
diarrhea	Is shit normal? Is it constipated or diarrhea?
hemorrhoid	It's still about hemorrhoids or anal fissures.
hemorrhoid	So anal drops of blood are more likely to be hemorrhoids.
hemorrhoid	Hemorrhagic hemorrhage is possible.
diarrhea,disgusting,heat	Do you have diarrhea? Is it hot? Is it disgusting?
spasms	Think about it.
abdominal pain	You're welcome. In response to this consultation, the doctor updated the summary recommendation: what about the umbilical week of the classification of common diseases?
disgusting,counter-current,abdominal distention,abdominal pain	It's only recently begun to hurt, but it's usually anti-acid, nausea, abdominal, abdominal pain.
gastrointestinal discomfort,abdominal distention,abdominal pain	Hello, is the upper abdominal pain unwell?
disgusting	There's no nausea yet.
hemorrhoid	Have hemorrhoids?
black poo,gastrointestinal discomfort,abdominal pain	Are there any abdominal pains or abdominal discomfort? How's the shit? Is it black?
gastrointestinal discomfort	What's wrong with your stomach?
black poo	If it's black, it's better to check the regular and hidden blood. In general, poo blacks consider the possibility of hemorrhage in the digestive tract.
diarrhea	Four at a time, twice a day, without diarrhea.
diarrhea	Do you still have a tummy when you cook yourself at home?
blood in stool	Would it be useful if you could try it when you bleed out of shit?
abdominal pain	Is it empty abdominal pain, or is it after dinner? Does it hurt at night?
bowel sound	Breastfeeding is best not given medication, which affects nursing women and children.
disgusting	Is there any nausea?
counter-current	There's anti-acid?
disgusting,counter-current,bitterness in the mouth,hot heart	Well, is there any nausea, anti-acid heart, slurping? How about shit?
spasms	The usual throttle pain should be stomach cramps.
spasms	The upper abdominal is likely to be convulsions caused by stomachs, or cystitis.
counter-current,hot heart,abdominal pain	When does it usually hurt? Does it have anything to do with eating, like an empty stomach before or a full stomach after? Is there any anti-acid fever?
bowel sound	Is it a tummy grunt or is it like there's water in it?
stomach ache,spasms	Eating sometimes causes stomach cramps and pain for a while. But usually it doesn't hurt for days. It may hurt for a few days if something irritant is damaged by the mucous membrane of the stomach, but it hurts more when you eat, and it is rarely said that eating will alleviate it. I think there might still be 12 finger ulcers or 12 finger ulcers.
indigestion,gastrointestinal discomfort	It may be caused by poor digestive intestine, and it is recommended that attention be paid in the near future to keeping warm, eating less and eating lightly.
restlessness	It's usually a problem, it's a symptom. Don't worry about it.
restlessness	The anxiety we've seen has caused a lot of body symptoms!
counter-current	It's the same thing.
gastrointestinal discomfort	You can drink like milk, but you can't drink more. It's bad for the stomach.
black poo	Hello, your question can't give you a clear diagnosis for now! It's a cold, 2 (acute upper respiratory infections) and hemorrhage in the digestive tract (low probability). Propos 1 — Drink 3-9 flu accelerator, observe temperature changes in the afternoon break, and determine the addition of other drugs! Watch the shit. If you get black or sweaty, you have to go to the local hospital in time. 3. Better go to the hospital and check the liver at some point, so that hepatitis can be further eliminated. Any other questions?
blood in stool	What's wrong with you?
hemorrhoid	What's wrong with you?
anemia,blood in stool	Don't worry, it's a common thing, a lot of people do, but if it's a lot of blood, it causes anemia.
diarrhea	No diarrhea, right?
abdominal distention	If you don't have abdominal swelling, you can shut down the ding-ding!
helicobacter infection	I'm sorry, I'm sorry.
helicobacter infection	Check the ulcers, if you need to kill them, or the ulcers will repeat themselves!
counter-current,hot heart	Aurelius is enough if the anti-acid fever seriously increases Vitamin and if it's not alleviated!
gastrointestinal discomfort	Well, you're probably a gastrointestinal abnormality.
hiccup,counter-current,hot heart	Do you have an anti-acid fever?
spasms	Hello, stomach spasms can relieve the cramps by eating less hot, cold, light, vegetables and fruit and rest.
counter-current,spasms,abdominal pain	Stomach convulsions are convulsions of the stomach muscle, mainly in the form of upper abdominal pain, vomiting, etc. There are many reasons for stomach cramps, such as ulcers, stomach inflammation, cerebral reflux, dietary factors, coldness, etc. Stomach convulsions are a symptom in themselves, not a disease. When stomach convulsions occur, they are mainly related to the symptoms, dissipation of pain and abstinence, and if there are frequent stomach cramps, care should be taken to find the causes, and treatment from the root causes is the most effective solution. That's why it's so important to know exactly what the cause of the disease is.
gastrointestinal dysfunction,dysbacteriosis	It could be a gastrointestinal dysfunction and an intestinal bacterial disorder.
abdominal pain	The greatest symptom of appendicitis is a back-to-jump pain in the lower right abdominal abdominal abdominal pain, which, according to your description, can be very sexual.
gastrointestinal dysfunction	This has to do with the diet, which can be caused by intestinal disorders caused by bulges, but does not affect anything, lists of diets, eat more plant fibers and drink more water.
dysbacteriosis	Well, it's an intestinal strain caused by a variety of factors. It's for whole intestinal tubes.
seung jo	There's a maximum of two antibiotics in San Francisco or quadruple, and there's a lot of different kinds of antibiotics that can be replaced by those you're not allergic to.
helicobacter infection	It would be accurate to review a month after the stopping of the generic anti-ghost sculptor drug.
helicobacter infection	Hello. When did you find the phantom screws positive?
loose stool	That's probably not good for gastrointestinal inflammation. Now it's paste?
gastrointestinal discomfort,counter-current,abdominal distention,abdominal pain	Are there any abdominal abstinence and anti-acid discomfort?
stomach ache,abdominal distention	Do you usually have a stomachache?
gastrointestinal dysfunction	Gastrointestinal disorders are being considered.
hiccup,counter-current,abdominal distention	How long has Hiccup had an anti-acid abstinence? How long has it been?
gastrointestinal dysfunction	That's because of the gastrointestinal function disorder caused by the stimuli of the diet!
difficult eating	You can buy small ones if you don't want them!
black poo	Hadn't eaten blood last night. It's blacked out a few times.
black poo	So your black today has a direct bearing on yesterday's diet. No problem.
ventilation	A lot of exhaust is related to diet and cooling.
abdominal pain	How long has it been on the right? How long has it been on the right?
diarrhea,disgusting,abdominal distention,heat	Is there any nausea, vomiting, abdominal swelling, fever, diarrhea? Is the urine normal?
spasms,abdominal pain	If only abdominal pain, without other obvious attendant symptoms, should not be a serious problem, taking into account intestinal convulsions, it should be possible to eat a toll chip or 654-2 tablets for pain relief, alleviate abdominal ailments, massage the stomach with timewise needles, a local abdominal heat and a light diet.
intestinal obstruction,abdominal pain	If the abdominal pain is not alleviated or for a longer period of time, it is recommended that it be better to visit the hospital, to have a detailed abdominal examination by the doctor, to make a diagnosis of the condition by pressurizing the lower abdominal, to check the blood urinary routine, abdominal B super and abdominal X lines to remove the problems of left-hand urinary tubes, intestinal infarction, abdominal lymphocytes, appendicitis, etc., and to treat the condition in a timely manner.
abdominal pain	Like, do you have a stomachache or do you want to take a shit?
abdominal distention	It's the upper tummy, the lower tummy, or the whole tummy.
abdominal distention	I'm sorry, I'm sorry.
abdominal distention	You're a slow-down intestinal function, you're a strong intestinal gas, you're going to take a little booster, you're going to drink more yogurts with fungus, you're going to eat more vegetables and fruits, and you're going to eat more food with rough fibers, such as potatoes and celery.
disgusting	Hello, there's no problem. Just keep eating on time. There's no need to throw up.
heat,difficult eating	Heated more than 38. Five more Merrill's. It's a reheat. It doesn't have to be regular every day.
heat	38. Five can do it. If the heat continues, go to pediatrics for drips.
diarrhea	You don't have to take this first. If you have more diarrhea, you can take fluorotyphoric acids orally.
gastrointestinal discomfort	What's wrong with the stomach?
diarrhea	This will get better when you're completely diarrhea.
hiccup,abdominal distention,diarrhea,restlessness,stomach ache,counter-current,hot heart	Do you often eat cold, hard and hot food? Are there any anxiety, staying up all night, and your stomach cold? Do you eat anything? Do you drink? Is there a liver and gall disease? Is there a burning heart, anti-acid, gastric, stomach pain, abstinence, constriction, diarrhea?
abdominal distention	The compound aphrodisiac intestinal solubility promotes digestion and mitigates symptoms such as abdominal swelling. It's an ancillary drug. Another doctor let you use it, maybe he's thinking about it.
indigestion,abdominal distention	If there is no indigestion, there is no abdominal swelling, then the treatment is routine. Otherwise, there's too much medicine.
indigestion	Depending on your description of indigestion possibilities.
hiccup	(you u u u up)
loose stool,ventilation	.....?
hiccup	Would it feel better if you didn't burp?
bowel sound	I've got a lot of screaming symptoms.
ventilation	I've never seen anything like this before.
gastrointestinal dysfunction,dysbacteriosis	In addition to stomach inflammation, there may be gastrointestinal perturbation and intestinal bacterial disorders.
stomach ache	Stomach vomiting, which takes into account early pregnancy reactions, is currently available for vitamin B6, chicken nitroglycerin, as some drugs are not available during re-pregnancy. And put some heat on the stomach.
gastrointestinal discomfort	In addition, if the stomach is more severe, you can eat a little cerebral flat. Have you ever had a stomach condition before?
helicobacter infection,counter-current	Hello! Your situation is mainly based on diagnosis: 1 stomach trachea reflux; 2 stomach phantom snails infection; 3 constipation. However, there should be a review of any changes in the stomach of the gastrostomy exclusion, and it is unlikely that the changes will be taken into account. How much did you lose in the last two months?
blood in stool,helicobacter infection	Recommendations! Blood routines, liver function tests, constipated blood, hepatitis insulin ultrasound examinations, gastrostomy reviews, phantom snails tests.
counter-current	The drug program begins with the treatment of stomach reflux: 20 mg per day for 2 meals per day for Estela intestinal solution, 5 mg per day for 5 mg per day for 3 meals, 15 ml for aluminum magnesium mixes and 2 hours after 3 meals per day for direct ingestion without water. Eight weeks of treatment, with a gradual reduction in the number of medications to be taken after eight weeks; after that, medications are taken on demand, i.e., symptoms are taken and the symptoms cease to exist!
helicobacter infection,counter-current	After the symptoms of reflux in the stomach can be alleviated, phantom snails and atrophy can be eradicated, since the atrophy is caused by the infection of phantom snails, so that the eradication of phantom snails is the main treatment for atrophy.
gastrointestinal dysfunction,diarrhea	The recovery of gastrointestinal disorders due to diarrhea also takes time to reconcile.
helicobacter infection,counter-current	In response to this consultation, the doctor updated the concluding recommendations: mainly to consider diagnostics: 1 stomach tube reflux; 2 stomach phantom snails infection; and 3 constipation. However, there should be a review of any changes in the stomach of the gastrostomy exclusion, and it is unlikely that the changes will be taken into account.
urgent urination,frequent urination	I saw no urinary urinary urinary.
loose stool	Hello, how often does it take to defecate the shit? Big is rare or hard. Any other symptoms?
gastrointestinal dysfunction	Considering the causes of intestinal disorders, it is recommended that abdominal capsules be discontinued for long periods of time leading to a colon black disease, especially since you are still young and can be used to regulate the balance of the gastrointestinal tract by using living fungus formulations and to keep the fungus open to softening, and that intestinal stimuli be reduced by the availability of lactose sugar for more than three days of constipation.
gastrointestinal dysfunction	Hey, considering the intestinal function disorder, is the shit normal?
diarrhea	Diarrhea is intestinal inflammation. You drink more water. Have a light diet.
bacterial infections	Because you could be caused by a bacterial infection. So you have to take the anti-inflammation pill. Smida doesn't work. Don't worry. It's okay to eat a non-fluorescent.
counter-current,hot heart	There's no anti-acid water burning the heart yet.
diarrhea	How's the shit? Any diarrhea?
abdominal pain	What's the reason for the abdominal pain at night?
counter-current,hot heart	Is there a heart-burning anti-acid? It doesn't swell.
gastrointestinal dysfunction	Hello, this situation takes into account the high probability of an intestinal disorder following acute gastrointestinal inflammation.
water swollen	The edema of the stomach is generally curable, mostly due to inflammation.
hiccup,counter-current,hot heart	Do you usually have any anti-acid heart burp?
black poo	How's the shit? Is there any black poop?
abdominal pain	Specifically, which part of the tummy pain is described in the heart of the belly button.
abdominal pain	Do you have any abdominal pain in your poop?
gastrointestinal dysfunction	In response to this consultation, the doctor updated his summary recommendation: according to the information you have given, you can go to the clinic to take a leak. If there is no problem considering the likelihood of a gastrointestinal disorder, you can eat more fruits, vegetables, proper exercise improvements. If you cannot improve it, you should go to the hospital to digest the internal clinic and take oral medications to regulate the intestinal tract. Thank you.
diarrhea	How long has the diarrhea been going on? How many times a day?
blood in stool	Is it a drop of blood? Is it a lot of red?
abdominal pain	No abdominal pain?
cough,hemorrhoid,abdominal pain	Cough doesn't matter. If there is no abdominal pain, there is no abnormal excrement, considering that hemorrhage is highly probable.
hemorrhoid	It is recommended that foods that are stimulating, alcoholic or hemorrhagic should not be fed, and that oral milk sugar (adapted for use according to excrement), hemorrhagic ointment (e.g., hysterectomy, marquis, etc.) may be used locally in the anus, and open-celebrosis treatment may be used whenever available. If the symptoms cannot be alleviated for a certain period of time, it is recommended that intestinal examinations exclude intestinal pathologies.
blood in stool,hemorrhoid	In response to this consultation, the doctor updated the concluding recommendation: In response to the consultation, the doctor updated the concluding recommendation: on the basis of the information provided, it is considered that your blood is highly probable that hemorrhage is hemorrhaging. Hemorrhoids and hemorrhage are highly probable. It is recommended that foods such as irritant foods, alcohols or hemorrhoids should not be fed, and hemorrhoids such as "Sgt; Lt;/contact; Lt; /AGT; and e.g.) may be used locally in the anus, and that hemorrhoids such as the “spirits” may be administered orally if the symptoms are severe, if necessary. If the symptoms cannot be alleviated for a certain period of time, it is recommended that intestinal examinations exclude intestinal pathologies. If you still have problems or if you're not feeling well, you are welcome to come back for advice. May you get well soon. Thank you for your support.
disgusting,gastrointestinal discomfort	According to your description, nausea and gas trophy are caused by stomach inflammation!
stomach ache	It's either the stomach pain or the stomach pain!
stomach ache	Bananas are not to be eaten recently because they are rich in potassium ion and can easily cause stomach pains.
indigestion	In addition to taking medications as prescribed by a doctor, the stomach has a seven-point diet, and in addition to its maintenance, it is recommended that (a) life should be characterized by regular diets, that it should be measured on time, that it should not be too full, that it should be sufficient, that it should avoid eating cold food, that it should not be so hot, that it should not be used to stimulate food, that it should not eat greasy food, and that it should not be allowed to eat coffee and wine, that (b) two hours before sleeping, and (c) as a matter of health care, it should be possible to buy “rooster gold” for cooking water at a Chinese pharmacy, two to three times a week, 15 g each time; (d) to warn against eating soup (which can easily cause divisiveness); (e) the gastrointestinal tract is particularly susceptible to emotional stress and must remain happy; and (f) to rest and exercise properly, not to stay up at night.
counter-current	It doesn't matter. The symptoms are still considering stomach inflammation and stomach inflammation!
gastrointestinal dysfunction	Consider intestinal dysfunction.
gastrointestinal dysfunction	Intestine dysfunction.
heat,abdominal pain	Do you have a tummy? Have you got a fever?
diarrhea,gastrointestinal discomfort	Hello, according to you, how long has this been going on? Did you eat hot and irritated food or cool things? Did you have other diarrhea? Did you have a chronic illness?
diarrhea,gastrointestinal discomfort	Could it be acute gastrointestinal inflammation, other discomforts such as diarrhea?
gastrointestinal dysfunction	Consider constipation, intestinal dysfunction.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water, abdominal swelling?
diarrhea	I'm not sure if it's safe.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water? Abdominal swelling?
abdominal pain	Do you have a pain in your upper left stomach when you're hungry?
disgusting,counter-current,hot heart,abdominal pain	There's anti-acid abdominal pain. Disgusting. Eat something.
helicobacter infection	This is also due to chronic stomach inflammation, and it is recommended that you go to the digestive infirmary in the hospital and find a combination of phantom snails.
abdominal distention	I don't know what you're talking about.
sticky stool	Do you have any slime or pus?
restlessness	You're welcome.1. Life should be characterized by regular diets, regular diets, regular diets, non-satisfactory diets, non-use of cold foods, non-smoking foods, and non-drinking of espresso-cafés; 2 hours before sleeping at night, no food can be eaten; 3 the gastrointestinal tract is particularly vulnerable to emotional stress, maintaining good mentalities and eliminating anxiety; 4 — rest, proper exercise, and as much sleep as possible. I'm not sure how to handle it. The practice of regular defecation, with or without constipation, shall be followed on a daily basis.
hemorrhoid	Is the shit dry? Is it hard? Was there hemorrhoids before?
hemorrhoid	Your symptoms describe hemorrhagic hemorrhage as highly probable.
hemorrhoid	Malcorranium hemorrhoids can be used for coating and potassium permanganate can be used for bathing.
hemorrhoid	Eat more vegetables and fruits and drink more water, so that hemorrhoids do not generally occur when the poop is full.
disgusting,abdominal distention,diarrhea,abdominal pain,counter-current,hot heart	Do you usually have anti-acid burns, nausea and vomiting? Abdominal diarrhea swells and constipates. How's the diet?
hiccup,spasms	Hiccup is mainly caused by cyst spasms.
counter-current,hot heart	I'm sorry, I'm sorry. I'm sorry. Furthermore, I'm sorry.
black poo	No black poo?
gastrointestinal dysfunction,ventilation,seung jo	The abdominal coldness and ass preference are gastrointestinal disorders that are closely related to mental state, psychological state, eating habits and sleep. Recommendations: Treatment of intestinal tracts (no antibiotics during the use of intestinal sterilizers) for oral treatment of the papillon capsules and treatment of cosmopolitans for gastrointestinal tract dynamics, etc. This disease is recommended for improvement mainly through dietary and lifestyle adjustments:Regular and controlled diets are regularly quantified and chewed down to facilitate intestinal digestion and avoid bulimia; 2. To avoid irritant diets that are as intolerant or allergic as possible to foods that are suspiciously intolerant or allergic, such as shrimps, crabs, etc., and to prohibit hot, frozen, cold food, night snacks and tobacco and coffee;High-fat diets are easy to eat, easy to digest and less greasy. High-fat diets can cause digestive abnormalities and therefore limit the intake of fat, especially animal fat, and minimize the consumption of fried foods, chocolate, ice cream, cream, etc. Two weeks to see the effect, two to four weeks to be effective, and then to stop the medication when the symptoms are generally better; if the effect is not good, then a timely gastrointestinal lens, with a clear diagnosis of the abdominal ultrasound, will be followed by targeted treatment. The specific drugs used are:(a) Pelican capsules, 1 round 2 rounds, 3 times a day;Mardi Gras, one slice, three times a day, during dinner. I hope my answer will help you! Happy health!
restlessness	Do you usually have anxiety? Did you stay up all night?
helicobacter infection	You consulted me before.First, it is recommended that the phantom spiral bacterium pneumatic experiment be perfected. I've seen the consultation records. The medication for stomach inflammation is only one side. Eating and living habits are also important.
helicobacter infection	Yes, there is a need to refine the phantom rotor respiratory test.
gastrointestinal discomfort	In order to avoid a hot, cold diet in general, a walk after a meal can promote the emptiness of the gastrointestinal tract and ease the discomfort of the gastrointestinal tract.
helicobacter infection	In the case of phantom rotor respiratory tests, which require the discontinuation of radon and antibiotics for at least three weeks, it is not recommended taking medication now, after which the phantom rotor exhalation test will be completed, and the stomach function will be adjusted with drugs.
stomach ache	Your stomach pains are caused by stomach inflammation.
spasms	It's supposed to be gastrointestinal convulsions caused by gastric inflammation.
heat	Did you get any heat?
diarrhea	Diarrhea is rarely caused by gastric inflammation.
diarrhea	Hello. Do you have diarrhea now?
disgusting	Hello, any nausea?
heat	Is it hot?
hiccup,abdominal pain	If there is a stomach problem, there are generally symptoms such as an abdominal pain on the upper left side, abdominal stench, etc.
hiccup,counter-current	Got any burp anti-acid water?
abdominal pain	Is it cold? Does it hurt?
counter-current,hot heart	It's more likely to have anti-acid fever of the heart.
gastrointestinal discomfort	If your stomach's still sick, you can have some Omelazepam.
counter-current,abdominal distention,hot heart	Do you have an anti-acid heart? Is your stomach swollen?
abdominal distention	It is recommended that you develop good eating habits, dietary patterns, less eating and more digestive soft foods. To avoid eating raw, cold, rough, greasy and too much fiber. I don't care if you eat like that. There is a ban on the consumption of intensive tea, coffee, alcohol, etc.; less food that makes it easier to produce gas, such as potatoes, potatoes, onions, soybeans, etc. Don't eat hot, irritable food.
stomach ache	Stomach pains can add VU to the spread of aluminum. The diet must be careful.
blood in stool	Is there blood and slime in the shit?
gastrointestinal dysfunction	Well, considering your situation is gastrointestinal dysfunction.
diarrhea,stomach ache,abdominal pain	Still diarrhea. Does your stomach hurt?
disgusting	Hello, is the shit normal? When did the pain happen? Is there a nausea?
abdominal distention	Any other medical history? Any diarrhea?
difficult eating	Did you take the relief? What's the medicine?
abdominal pain	Sometimes they work hard or engage in intense sports. It can also be caused. Abdominal pain.
gastrointestinal dysfunction	Disorders in the intestinal function can also cause throes of pain. Shouldn't be a big problem. Don't be nervous.
abdominal pain	It's not as hot as it gets. Hold on every night to warm the stomach. Especially good pain. Try to lighten it up?
gastrointestinal dysfunction,spasms,abdominal pain	In response to this consultation, the doctor updated the concluding recommendation: Hello. Intestine local inflammation. Intestine spasms. Intestine function disorder. All can cause similar symptoms. Attention is recommended to dietary patterns. Don't eat cold, less hot, greasy and irritable food. Take care to rest on time. Warm and abdominal pain every night. You can eat a little emulsion film four times a day and three times a day. It's a four-part four-a-day film. Try it light, it shouldn't be a problem.
diarrhea	There's no diarrhea.
gastrointestinal discomfort	Well, it's supposed to be a symptom of bad intestinal function.
abdominal pain	How long has it been? Does it hurt?
counter-current,abdominal distention	I don't like it. I don't like it. Furthermore, I don't like it. Furthermore, I don't like it. Furthermore, I don't like it.
diarrhea,abdominal distention	You're just going to have a diarrhea right now, aren't you?
diarrhea	How long is the last period of menstruation? How's the diet? Any diarrhea or constipation?
gastrointestinal dysfunction	This situation is more likely to be caused by gastrointestinal disorders or gastrointestinal disorders.
abdominal pain	The abdominal pains are a little warm and hygienic in the morning and evening stomachs, more hot water, local massages or heat relief, and if pain increases, take a taste 10 mg twice a day to relieve symptoms. Would you like to go to the hospital early if necessary?
abdominal pain	If you don't take any pills, you can keep your abdominal pains warm in the morning and in the evening, you can drink warm water, you can give a local message, or you can put heat on the symptoms.
bacterial infections	If you're infected with a bacterial infection, it's contagious.
diarrhea	Diarrhea, vomiting leads to excessive body fluid loss and an electrolytic disorder in the body. You'd better get some rehydrated salt. There's no rehydration at the clinic?
diarrhea	Hello, Archymoxin does easily cause diarrhea, but it doesn't take that long. Is it diarrhea for five days?
restlessness	Do you have any other anxiety?
difficult eating,restlessness	It may be that this lack of appetite has something to do with emotion, too irritating. This situation is prone to anorexia. It's not like electrolytic disorder.
difficult eating	You're anorexic because you're in a bad psychological state. It's not about the diet.
restlessness	To treat stress and anxiety.
diarrhea	Do you have any diarrhea symptoms?
diarrhea	Don't eat it if your diarrhea monopoly.
diarrhea	It's not diarrhea now. Disable the monopoly capsule.
blood in stool,hemorrhoid	There's blood on the back. Hemorrhoids are bleeding.
hemorrhoid	Hemorrhaging may be related to the prior drying of the shit. Now it's soft, and it's ready for a while. Hemorrhaging was observed.
hemorrhoid	Is hemorrhaging? Blood on the excrement surface?
hemorrhoid	Get rid of the hemorrhoids first. Masculine hemorrhoids, hysterics.
hemorrhoid	Hemorrhaging shouldn't be much. You can touch your own anus with no blood.
hemorrhoid	Oh, my God. Oh, my God.
gastrointestinal discomfort	The stomach or the belly button?
gastrointestinal dysfunction	Considering this is a gastrointestinal disorder, it's recommended to take a traipsing whole intestinal adjustment.
indigestion	It is important that dietary diets be mild and cold to stimulate food-depletable dietary patterns that are too hot to digest.
seung jo	How many positives are you? Are there any allergies?
seung jo	Um, okay. Any drug allergies?
indigestion	You're still mostly indigestion.
dysbacteriosis	This drug mainly treats intestinal disorders.
ventilation	So let you eat the whole intestinal system. Pulsifiers can also be used. Is that a lot of bullshit?
indigestion	Try to keep the pickles as low as possible. Bad digestion.
ventilation	What are you talking about? What are you talking about?
hiccup,disgusting,abdominal distention,stomach ache,counter-current	Do you have any anti-acid hiccup stomach pains and nausea?
spasms	(you u u u u up)
wong poon	Note that ALT can recover during the administration of medicines for a limited number of benzene delta patients, which can be reduced by increased doses. Some ALT patients responded to the drug stoppage, but continued taking the drug remained valid. Individual patients may experience yellow clover and worsening conditions during the course of their medications and should stop doing so.
abdominal pain	I don't know.
dehydration	You don't need a lot of water to dehydrate.
diarrhea	Feels like viral diarrhea.
diarrhea	I've got a lot of triglyceride.
diarrhea	If diarrhea is reduced, it waits for it to go to the hospital if it does not. No, thank you.
diarrhea,disgusting,heat	Hello! How long have you had your symptoms? Any fever, diarrhea, nausea?
diarrhea	Symptoms such as alcohol, water, early ejaculation, low sexual traction, stress, infertility of women, hypertension, diabetes, etc., can be found. The sorghum is fine.
heat,blood in stool,abdominal pain	In the case of abdominal pain, blood, or when the fever is unmitigated with a mesa la. It can also be used simultaneously, down to a minimum maintenance dose!
hiccup,counter-current,abdominal distention	There's usually no stomach swelling and anti-acid situation.
blood in stool	There's no blood on the shit now, is there?
spasms	Does it hurt today? It must have hurt for a while. It's a short convulsion this morning. Furthermore, it's okay.
spasms	Well, that's fine. We're going to have gastrointestinal tracts for a variety of reasons.
gastrointestinal dysfunction	It's supposed to be an intestinal disorder! You can eat a bit of verb amine and urinary.
blood in stool	Hello. Have you ever had shit like this before?
diarrhea,hemorrhoid	Well, this is a good consideration for haemorrhagic hemorrhage due to acute intestinal diarrhea. Is shit normal now?
hemorrhoid	Well, that's an austere with rhesus hemorrhoid ointment.
hemorrhoid	Well, hemorrhagic hemorrhage can be used as an external drug for hemorrhage treatment.
bacterial infections	Nofluorsar can be used for acute intestinal inflammation caused by bacterial infections.
seung jo	If you are not allergic, you can take two to three days orally.
blood in stool	Yes. Hemorrhage is not alleviated by three days of medication and should be taken to the anal unit of the hospital.
diarrhea,dehydration	Diarrhea can drink more hot sugar salt, prevent dehydration, and, if necessary, perform a routine and associated biochemical examination!
diarrhea	Yeah, too much water, maybe a diarrhea.
dysbacteriosis	Then take some intestinal disorders.
intestinal obstruction	The symptoms first need to be seen for infarction, usually for enema or external open-celeble treatment, and, if necessary, for the screening of the abdominal tablets.
intestinal obstruction	If infarction requires regular enema treatment.
diarrhea	Well, just pull it, usually not more than two diarrhea times again. Keep eating saffron. Partially co-ordinated heat treatment.
difficult eating	There are no strict time limits, and taking medication after eating is due to a reduction in the stimulation of the stomach with anti-inflammation pills.
diarrhea,disgusting	Your current symptoms are considered gastrointestinal inflammation with diarrhea and nausea.
dehydration	Drink more water and rehydrate. Prevention of dehydration.
counter-current,hot heart	Anti-acid, burning heart?
cough	(you u u u u u up)
counter-current	It's supposed to be anti-fluid dietary inflammation.
gastrointestinal dysfunction	I'm sorry I couldn't get back to you in the morning. Considerations are caused by intestinal dysfunctions. I wish you an early recovery.
counter-current,abdominal distention,hot heart,abdominal pain	Do you have nausea first or vomit first, do you have pains above the belly button or do you have pain below? Do you have abdominal swelling? Do you have anti-acid water, a burning heart? What is vomiting? Is the shit normal?
hiccup,counter-current,abdominal distention	Hiccup anti-acid abdominal swelling. Is it normal to eat?
diarrhea	I don't know what you're talking about.
heat	Is there a fever?
abdominal distention,abdominal pain	Oo has no abdominal swelling.
cough	There's no coughing and coughing.
hiccup,counter-current	There's no anti-acid burp.
restlessness	Excuse me, you're not anxious. Nervous as usual.
restlessness	(you u u u u up)
restlessness	No, it's not. As a result of anxiety and stress. Just relax.
disgusting,abdominal distention	Diarrhea and nausea are generally caused by discomfort in digestive tracts and are also present in early pregnancy.
counter-current,abdominal distention,abdominal pain	Hello. Do you have any other symptoms to supplement? Like abdominal swelling and anti-acid water? How many times a day?
hiccup,counter-current,abdominal pain	Well, any other symptoms? Like digestive symptoms like abdominal anti-acid gas?
counter-current	It's possible to have gastrointestinalitis and gastrointestinal resuscitation.
counter-current,abdominal distention,hot heart	Hello, do you have a heart attack?
diarrhea	Hello, there's something wrong with having diarrhea.
hemorrhoid	Was there any hemorrhoids?
hemorrhoid	This hemorrhage generally takes into account anal fractures or hemorrhoids.
hemorrhoid	This situation requires keeping the toilet open, drinking more water, eating more vegetables and vegetables, eating honey, making it less hard, good anal blood flow, strong self-repair, and usually three or five days as long as it is full. If hemorrhage is repeated and hemorrhage is repeated, he has to check the anal intestine and see if hemorrhagic hemorrhagic conditions require medication.
helicobacter infection	Check out the phantom rotor and recommend an import of Omega (Losses) instead.
counter-current	I don't know what to say.
spasms,abdominal pain	That's still around the belly button. Hello! The pain around the navel should be intestinal convulsions, and if there is no medicine in the house, you can drink a hot white salt, warm your stomach with a warm treasure, lie down on the bed and fart off. If you take a pill, you can take an oral tonic or 6542. I hope you get well soon. You warm your stomach with your warm treasure.
spasms	It's supposed to be an intestinal spasm caused by the cold.
stomach ache	If your stomach hurts, you'll eat some Omelazepam.
spasms	It's too cold for stomach cramps.
spasms	That's the stomach. Stomach spasms. Vi-U-Aluminium capsules.
spasms	This is for stomach cramps.
gastrointestinal discomfort	Hey, how's the stomach? Can you tell me the symptoms?
