symptoms	sentences
helicobacter infection	Wrong number. Twelve more tests for phantom snails infection are negative.
diarrhea,difficult eating,dysbacteriosis	The doctor said I had an ulcer before, but after the review was healed, it was all right. The slime was an intestinal disorder and did not allow me to re-examine the intestinal mirror. Does this viscous blood form part of the intestinal disorder? I never have diarrhea. That's what happens when you eat bad food, slime blood. Do you think it matches the bacterial disorders?
difficult eating	The intestinal mirrors that I did with slime for 17 years revealed a review of the ulcers in January for 18 years. And then, in the last few months, there's a slime that's not good enough to eat.
dysbacteriosis	Well, it takes months to eat the fungus, which is a strain of the herd.
diarrhea,bowel sound,stomach ache	In the first days of the moon, eating the leftover bean sprouts, having a stomachache, two days later, you're going to have a stomach ache, and you're going to be grunting, and you're going to have a stomach ache.
diarrhea,stomach ache	I've had stomach pains, and I'll have a diarrhea in a while.
disgusting	Sleeping sweaty at night, getting up in the morning is disgusting.
cough	Others sometimes coughed several times, but one ct was checked about a year or so, and there was always dysentery.
bowel sound,ventilation,abdominal distention,abdominal pain	Abdominal pains, farts, intestines, and a lot of pleasure. Dimple (M, 29 years old)
gastrointestinal discomfort	I've had a bad stomach for a long time.
gastrointestinal discomfort	In the past, the stomach had been bad, but it had not caused any inconvenience to life, and diets were irregular, and there had been a little more stimuli.
abdominal pain	I'm so sorry. I'm so sorry.
difficult eating	I don't think I'll be able to eat two or three bites of Chinese food today.
hunger	I don't feel hungry either.
disgusting	And it was yesterday that I came together to wonder what it was like to throw up.
stomach ache	The doctor's stomach is a little abstinent. Please take something nice. Thank you.(Men, 26 years old)
gastrointestinal discomfort	It's okay, it's just a little afternoon. It's a little sick.
abdominal pain	My stomach aches.
gastrointestinal discomfort	Eating too late isn't bad for the stomach.
gastrointestinal discomfort	Is it bad for the stomach to drink water?
diarrhea,abdominal pain	I can't digest food, I'm cold, I'm going to have a stomachache, I'm fine. I've had Chinese medicine for more than three years, I've had Chinese medicine, I've had better medicine, I'm going to get better, and I'm going to have to do this for a while.
heat	It's yellow, it's three or four times when it's not right, it's fine when it's done, it doesn't have a fever, usually one day or two days when it's okay.
dysphagia,stomach ache,gastrointestinal discomfort	A woman, 25 years old, doesn't smoke, doesn't drink, feels sick of her stomach for almost two months, feels full after eating, feels stuck in her throat, but doesn't have much to eat, gets occasional stomach pains after eating, doesn't know why. (Woman, 25 years old)
helicobacter infection	The test for stomach clairvocosis in July of this year was positive, followed by a doctor's prescription, and reviewed last month was negative.
disgusting,gastrointestinal discomfort	I've been sick in my stomach lately after dinner, sick and sick and sick, and it's just been a while, so what's going on?
indigestion	What's the matter with you?
disgusting,difficulty breathing	After finishing the bag in the first two days or so for about an hour, it started to be disgusting, painful and harder to breathe than usual.
disgusting	Even if they don't eat much, they're disgusting.
gastrointestinal discomfort	I have a bad stomach.
indigestion	Is it hard to digest an egg burrito?
hematemesis	You get up early and brush your teeth, and then you bleed. What's going on?
cough	I don't have a cough.
hematemesis	Every time you throw up, it's blood.
disgusting,counter-current,gastrointestinal discomfort	I'd like to ask you if it's a chronic stomach infestation, if you can't spit in your mouth, if you don't take your stomach medicine, and then check your liver.
stomach ache	Is my chronic stomach disease more severe? It's usually a sudden stomach ache, less so.
hiccup,indigestion,ventilation,abdominal distention	Woman, 24 years old. I've been hiccups for some time, but it's better when I lie down, and my stomach swells, and I feel like the gas doesn't come down, I can't fart out, I feel oppressive when I get down, for days, and it's useless to take indigestion pills. What's the reason for this?
hiccup,indigestion,gastrointestinal discomfort	I can always eat, my stomach can't feel bad. I've been hiccups for days. Is that why I'm indigestion?
hiccup	And then I didn't have much to eat, and I was the one who affected life, who was hiccups, who was choked, and why did I feel less beating when I lay down?
counter-current	I don't know, I don't think the doctor who showed me suspected me of urinary reflux.
hiccup	Not staying up all night, not eating hot, not knowing why other symptoms do not just burp.
bowel sound	A woman 23 years old, stomach inflammation. Does it affect her stomach? Is it good or bad?
disgusting	Not good, I'm going to throw up, and then I'm going to throw up once.
chest pain	It's a pain in the middle of the rib.
counter-current,hot heart	A little anti-acid. Shouldn't burn the heart.
diarrhea,disgusting,abdominal pain	Old man, 63 years old, in recent days, tummy pains, diarrhea, tongue whites, sometimes vomiting.
gastrointestinal discomfort	I've eaten, but I don't feel well.
hunger	Why do you always feel hungry when eating three meals?
anemia	Anemia used to be anemic, and now it is treated not so easily as to be hungry.
indigestion	No symptoms of indigestion are likely to have stomach fever.
disgusting	I'm sorry.
diarrhea	I'm afraid! Don't you think you need a needle for excretion?
diarrhea,gastrointestinal discomfort	Doctor, you've had your 10-day stomach medicine today. It's a little uncomfortable when you're hungry. There's nothing wrong with being fed. Three times yesterday, your ass is wet. Is it intestinal or stomach inflammation?
diarrhea	That's good! It's just the other day.
hiccup	You've been eating, you've been eating, you've had a strong chest, you've got hiccups. What's the problem?
disgusting	I threw up three times in two hours and then felt comfortable. But it's still disgusting. It's been three times.
diarrhea,heat	Have some fish for dinner, half a bowl of rice. No diarrhea, no fever.
counter-current,abdominal distention	No diarrhea, no more than a decade ago, but not so good. The last time I ate, I threw up, I didn't throw up. It's all sour this time.
indigestion	Isn't this for stomach digestion?
hunger,stomach ache,abdominal pain	It hurts in the buttocks, it doesn't sit properly, it doesn't go to the bathroom, it hurts in the stomach and stomach, it feels like hunger and burning.
stomach ache,abdominal pain	For the first time since three years ago, there was pain in the buttocks attached to the abdominal abdominal abdominal pain, and there was a dose of acute gastrointestinal inflammation at the community clinic, which is now the first time that there is a feeling of abdominal and stomach abdominal pain in addition to the abstinence of the ass.
counter-current	I'm sorry.
stomach ache,abdominal pain	Hello, doctor, physiology of small abdominal pains and stomach pains, diarrhea, monthly physiology pains and pains, as well as hidden pains in places where there was a previous visit to the hospital to see the stomach, the doctor said there was insufficient blood supply.(Woman, 23 years old)
abdominal pain	It's mostly a pain around the belly button of the physiological period of every month.
stomach ache	The physiology period is over, and the stomach doesn't hurt anymore.
abdominal pain	She's got a pain in her right lower belly when the shit's dry.
abdominal pain	How does the stomach hurt?
abdominal pain	When you eat or get up in the morning, you have a tweeting pain, but the tweeting is bad with a back acid. (Woman, 28 years old)
abdominal pain	I can't get out of the bathroom when my stomach hurts.
abdominal pain	Sometimes when you're already in the toilet, you still feel like you want to go to the restroom.
hemorrhoid	No hemorrhoids.
blood in stool	A 55-year-old man with blood in his pants after a few days of shit. It's not dry, it doesn't hurt. What's going on?
loose stool	== sync, corrected by alderman == elder_man
abdominal pain	No abdominal pain.
abdominal pain	She's 20 years old, she's a little of a pain in the lower left belly last night, and then she'll be all right, and this morning she'll feel a little swollen, but it doesn't hurt. What's the situation?
stomach ache	Hepatic pain, stomach pain, what is it? (Men, 55 years old)
bowel sound,gastrointestinal discomfort	In 2016, gastrointestinal carnal surgery was performed, intestinal cartilage was performed in 2017, blubber tumors were performed in 12 indexes, gastrointestinal discomfort in April of this year, grumbling, intestinal examinations were not abnormal, and stomach conditions were atrophy. In recent months, the gastrointestinal discomfort has been repeated and there are now both sides of the tummy, both sides of the tummy, with hidden pains, which have disappeared after care in hot water bags at night.
helicobacter infection,gastrointestinal discomfort	If there's a phantom snail, it's the stomach that's indisposed.
abdominal distention	At the moment, most of my time I'm having a dry meal, my stomach doesn't swell, and I'm just a little swollen after dinner.
heat	I was sick of vomiting in my stomach last night. The doctor who went to the hospital today said it was a symptom of acute gastrointestinal inflammation. And then it came out, and it wasn't that bad in the stomach. But the fever is less than 38 degrees now. What should I do?
heat	The fever won't keep burning.
gastrointestinal discomfort	So what are you eating these two days? I don't feel well eating my stomach.
disgusting	A little cold under the chest, a little nausea and sometimes cold sweat.
diarrhea,disgusting,abdominal pain	Disgusting is only when eating, not vomiting, some diarrhea and vertigo.
abdominal distention,abdominal pain	Yesterday, no abdominal swelling.
heat	It's not cold, it's a little hot, it doesn't eat irritant food.
heat	The history of the disease is characterized by common cold fever and measles.
diarrhea,abdominal pain	Diarrhea hurts two to three times a day in the morning.
diarrhea	Diarrhea is in fact very often the first year of last year, but it's basically once a day and this time it's about three or four days old.
loose stool	This time it's not working.
ventilation	Fartsa.
diarrhea,abdominal pain	It hurts when you have a diarrhea.
gastrointestinal discomfort	But the stomach won't feel well.
helicobacter infection,stomach ache	The 14-year-old girl had a phantom scull index of 127 and had a stomach ache from a doctor's medication.
gastrointestinal discomfort	Hello, doctor. What's the matter with my stomach and my shit?
disgusting,abdominal distention	I'm sick of it! I'm sick of it! Furthermore, I haven't eaten breakfast! Furthermore, I ate honey at noon! Chestnuts! Pumpkin beer!
abdominal pain	I don't know what you're talking about.
disgusting	If you eat too much oil, you'll feel sick.
abdominal pain	Secrecy, dildo, no sense, left lower stomach pain (woman, 29 years old)
disgusting	In recent days, there has been an early morning nausea, and the previous days were merely a day of puking and vomiting, but it did not come out. When I washed my face this morning, I suddenly wanted to throw up, and then I threw up some fresh water, wondering what caused it? (Men, 67 years old)
disgusting	The patient performed a rectum cerebral removal operation in July, performed well after the operation, and did not react abnormally, starting with a cold in the last week, and went to the hospital to buy some medicine, which was almost ready, but continued to suffer from vomiting.
gastrointestinal discomfort	That means it's not caused by the gastrointestinal discomfort caused by the cerebral ecstasy.
gastrointestinal discomfort	It's a little uncomfortable, it's a little swollen, it's better to press the stomach with my hand. I've been sitting on books for a long time, and I've had less exercise. Usually running at 10:00 p.m., usually sitting and studying.
counter-current,hot heart	No anti-acid, heartburn.
gastrointestinal discomfort,abdominal distention,abdominal pain	A few weeks ago, there was an abdominal swelling, a slight pain in the right stomach, during which time an Opera was convulsed, trammed pudding, and later gastrointestinal granules and whole intestines, and then felt much better, and in the last week the stomach was sick again.
counter-current	What do you mean "anti-acid"?
diarrhea,abdominal distention	Ask me, it's a little uncomfortable on the left side of the belly, it's a little diarrhea, it's still a little swollen. Did you eat something bad?
abdominal distention	It's just a tummy, and it's not feeling well here on the left side of the belly.
diarrhea,bowel sound,abdominal pain	Doctor, I've been having intestines for a long time, but sometimes it's not that loud, but I can hear it, but it's not that I'm hungry.
bowel sound	The main thing is the intestines.
diarrhea	Doctor, according to your diagnosis, is there anything like me? I find that I eat outside, like hot pots, roasts, and so on, especially when I drink beer and drinks, and if I don't move, when I walk too much, I can't stand my stomach when I'm almost home, and I want to shit. What's the reason?
diarrhea	Infestations, sometimes diarrhea, have had a lot of medications that have had little effect.
diarrhea	The intestinal tummy check-up began with an intestinal blood test, and the intestinal mirrors had two cerebral flesh removed, while other intestinal inflammation was not normally observed, sometimes two or three times, and the poop was not diarrhea, and the water broke out.
shortness of breath,abdominal distention	My chest is short, I don't want to eat greasy things, and my mouth has bubbles up and my stomach is swollen (Men, 52 years old)
shortness of breath,abdominal distention	My chest is short, I don't want to eat greasy things, and my mouth has bubbles up and my stomach is swollen (Men, 42).
diarrhea	I don't think I'm going to have a stomach attack until I'm hungry or when I've just finished my meal.
bowel sound	It's more embarrassing because it's full, and it's loud.
abdominal pain	There's no tummy pain, and it's just a few minutes later.
diarrhea	Almost once a day or twice a day, but it doesn't look like a diarrhea.
diarrhea,abdominal pain	A stomach ache? A stomach ache in the middle of the tummy. No diarrhea.(female, 27 years old)
abdominal pain	No, it started at six o'clock. It didn't hurt for half an hour. Now it's starting again. It's the tummy in the middle of the ribs.
diarrhea	No attention, no diarrhea, it's kind of dark.
abdominal pain	It's going to be a bit of a pain in the stomach. But nothing happened. It won't hurt for a while.
blood in stool	Hey, do you have a look at this big jam-coloured blood for me?
abdominal pain	Recently, it has been felt that gas in the stomach sometimes ends with a pain in the abdominal.
helicobacter infection	Thank you, I only have seven days to read the instructions, so I'm afraid to take it today. I'm ten positive for phantom screws.
diarrhea,stomach ache	He's had three days of intestinal pain with a slight diarrhea (female, 25 years old)
heat	No fever is fixed on the belly button.
blood in stool	She's 9 years old, and this morning she went to the bathroom to pee red, not knowing if it was blood, not before.
loose stool	All right, I'm 33 years old, I've been in shit for years, and I'm used to it.
loose stool,abdominal pain	I'm full of shit. I can't make it. My left stomach always hurts.
abdominal pain	I recently lived in Fujian, where damp meals were so hot that it was more painful to eat the toilet and pain on the left side of the stomach.
gastrointestinal discomfort	It's the stomach that's not feeling well for a long time.
helicobacter infection	That 13C clairvoyant is going to hang on to something.
hiccup,abdominal distention	Hello doctor, my brother's voice has been hiccup-like for the last two years, and he's been breathing, especially when he's eating worse, and he's having a tummy. What's going on? Worried! Get down on your knees and ask the doctor for an answer. It's been examined before to crystallize the gallbladder. Thanks for the doctor's response.(Men, 28 years old)
counter-current,hot heart	No gastric mirrors, anti-acid and heartburn.
blood in stool	I don't know what to do with it.
abdominal pain	(you u u u u up)
heat	No fever.
bowel sound	Oh, my God.
blood in stool	Blood. It doesn't hurt. What happened?
hemorrhoid	How to check for hemorrhoids.
loose stool	I'm sorry, I'm sorry.
chest pain	The 32-year-old male has a history of tuberculosis by stress. Ask if chest pain is related to the previous history of tuberculosis. (Men, 31 years old)
bitterness in the mouth	I'm having trouble getting up early.
chest pain	At the moment, there is an occasional feeling that stomach acids such as blubber are being eaten in the chest, and the doctors say that the problem is less frequent than the need for medication, which is more regular to stimulate food.
chest pain,gastrointestinal discomfort	Do you have a connection between chest pain and stomach discomfort?
bowel sound,ventilation,abdominal distention	Women, year 24.
hunger	Eighteen years old, he's been feeding for an hour before 9:00 last night, eating some chestnuts, a miraculous fruit, hunger at 11:00, feeling it all the time when he's sleeping, and for the first time, what's going on?
counter-current,stomach ache	At the beginning of last month, he sat on the floor for more than 10 minutes and suddenly had a stomach ache, and he was anti-acid, when he ate Omar's stomach mate, Semi Sitting, and so on.
stomach ache	He was wearing a belt, and it was not clear whether he had a stomach ache because he had been crouched down to his stomach.
hunger	Doesn't it matter? Why doesn't hunger happen when you eat?
stomach ache	(Clears throat) (Clears throat) (Clears throat) (Clears throat)
stomach ache	The cold temperature this afternoon is 37. Five stomach aches after taking cold medicine.
heat	It used to be more than 37 degrees, sleep better at night until morning, and sometimes it's more than 37 degrees during the day.
heat	What happened to the first days of the day, when the temperature was at least 37 degrees and the evenings were better?
diarrhea,ventilation,stomach ache,hot heart	My stomach hurts, it feels like it's breathing, it's burning, and I can't sleep in the middle of the night.
diarrhea	It has to be done once a year. A cold weather is likely to happen. Shortly after eating, it was cut out like a diarrhea. Don't eat shit.(Men, 62 years old)
bowel sound	If you don't eat it, you're going to have it soon after you eat it.
stomach ache	There is nothing wrong with the rest. It's a little of a stomachache this year. It's like a heartache.
blood in stool	I don't know.
difficult eating	I'm sorry, I'm sorry, but I don't know what you're talking about.
hiccup,bowel sound,ventilation,gastrointestinal discomfort	It's been a week since dinner.
loose stool	Shit's been always rare.
ventilation	It's not like you've been farting all the time.
difficult eating	If it's bad for fruit and vegetables, do you recommend more medication?
gastrointestinal dysfunction	It's just a gastrointestinal disorder?
seung jo	I'm usually less resistant, I'm allergic to nasality, and my friends say that I can manage my body.
stomach ache,disgusting,abdominal distention	It's been three or four days since my stomach was sore, my stomach is so swollen, I can't spit, I can't feel it. It's been three or four days. Furthermore, it's not working.
diarrhea,abdominal distention,heat,stomach ache	A little above the belly button, no heat, two or three times a day. It's either the one with the diarrhea or the stomach pain.
stomach ache	I ate three tons of stomach pain particles that didn't work.
disgusting,hot heart	The stomach burns a little from the stomach up to the throat, a little nausea after dinner and a little vomiting. And then it feels so cold to the stomach, like eating mints, asking why.
hot heart	One day after vomiting, one day later, it started to feel cool. Then it gets cold for two days, burns on the chest to the stomach, and then it's very uncomfortable.
gastrointestinal discomfort	It's not good to drink estrogen.
sore throat	Okay, thank you, doctor. Am I that serious? I feel a little hurt in my voice today.
hot heart	By the way, I feel like I have more than a burning stomach, and I'm already in the chest, and I checked it out. Is that serious?
ventilation	It's been like half a month since I had to take a shit every day, and now it's like a second day or two without plain clothes, and it's just the day before I fart.
restlessness	What anxiety and panic.
loose stool	It's big when it's blue, and it's full of shit. When it's big and yellow, it's like a pile of mushrooms and vegetables that aren't digested. He started eating his whole intestinal body two days ago (Men, 23 years old)
sticky stool	I'm a chronic colonist who's got a little of slime in his shit right now.
diarrhea	I had a few meals and two drinks last night, I started having a tummy in the morning, and then I had a little water, and I didn't know what happened.
diarrhea,indigestion	Could it be digestive diarrhea?
burning sensation in the pharynx,hot heart	I understand the doctor, but sometimes I feel burning down my throat.
gastrointestinal discomfort,abdominal pain	I've had stomach pains for months, but I've had intestinal pains for months. It's now middle abdominal pain, upper abdominal ailment, accompanied by anomalous intestinal abnormalities, small quantities, looseness. The pain is strangulation. There's a pain in the stomach. There's a pain in the stomach when there's no pain. There's almost no pain in the stomach. There's no pain in the stomach in the previous period, but there's no pain in the stomach, there's no pain in the stomach, there's no pain in the stomach in the first few days.
disgusting	Yeah, it's working. The rectum cures the back. The stomach pain cures the nausea, but the pain is still.
spasms	Or the pain of an intestinal spasm. But it's not as long as the pain — it's not as long as it is — a few seconds, an hour and a half or a half, or a period of tummy, and there's a pain in it, and there's a pain in it.
abdominal pain	I've been in a bad mood lately, because this stomach always hurts, and the work is more stressful.
abdominal pain	Good doctor! Because I've been in pain for a long time, but it's not always fixed. That's how I've changed my stomach for days, or I've been in pain for days, and it doesn't feel like a real disease.
difficult eating,hiccup,hunger,disgusting	My dad's 66 years old. He doesn't want to eat, he wants to throw up, he doesn't feel hungry until he eats, he's hiccups. What's going on?
hiccup	Oh, what does this burp have to do with the esophagus?
hiccup	What's the reason for this hiccup?
gastrointestinal discomfort	From the moment he was unwell, he began to take the medication, which stated that the adverse reaction was to stimulate the stomach, which had been bad ever since.
difficult eating	There was an atrophy of stomach disease years ago, and the ulcers don't want to eat now.
bowel sound,gastrointestinal discomfort	Hello, I'm always sick of my stomach, I'm not always sick, I'm always sick of my stomach, sometimes my stomach echoes. What's going on? I'm 23 years old.
hiccup,abdominal distention	I've had a slight sting like a needle, and a stomach swelling, and a hiccup would be more comfortable. It's not always a crime, it's a little more frequent in recent times.
difficult eating,gastrointestinal discomfort	It's bad for your stomach to eat at midnight, isn't it?
abdominal pain	Don't you need to eat if you've had six days of women's diarrhea?
abdominal pain	Summer checkups say there's a lot of fluid, but the stomach doesn't hurt in the last few days.
stomach ache,indigestion,abdominal distention	It's just a stomach swollen, it hurts a little. I think I can't digest it. I want a green tea or nothing. Can I have an Omega intestinal capsule?
ventilation	I fart a lot and shit a lot. Do you need an intestinal mirror?
ventilation	No, just like farts.
abdominal pain	I don't know why I've woken up and had a stomach ache lately.
abdominal pain	Abdominal pain the next day after taking the cholera vaccine, and a headache the fourth day is normal? (Men, 21 years old)
diarrhea	By the way, is diarrhea often harmful to the body?
diarrhea	A few years, it's diarrhea that doesn't know what's going on.
abdominal pain	But the stomach doesn't hurt.
bowel sound	Lately, the belly grunts, farts, want to consult. What's the treatment?
difficult eating	Not anorexic, not too much to eat.
disgusting,abdominal pain	When I fell asleep at about 6:00 this morning, there was a sudden strangulation under the stomach, accompanied by a feeling of wanting to go to the bathroom. So I went to the bathroom. But the strangulation is increasing, sweating, and there's a little confusion. Then suddenly I wanted to throw up, but I didn't throw up anything. And then it felt better, and the sweat was gone, just a little painful and wanted to go to the bathroom. The whole process of severe pain is about two minutes.(Woman, 25 years old)
abdominal pain	It's better. It's a little of a need to go to the bathroom. I can barely feel the pain in my stomach. He's in bed, drinking hot water.
difficult eating,counter-current	Anti-epidemiological inflammation has been bad for almost a year. (Men, 36 years old)
counter-current	Good to see you, Doctor, six months ago, my stomach mirror was a chronic gastric inflammation.
hiccup	Now it's the chest clogged, and the throat stung and the throat stung.
counter-current	The stomach doesn't feel any better than it used to be, and now it doesn't.
hiccup	I don't want to eat too much breast clogging to get angry hundreds of times.
hunger,stomach ache	The stomach never hurts, never rises, or doesn't eat much and doesn't feel hungry.
dysphagia	Is it also the problem of edible inflammation?
hiccup	Hiccup is also a sound in the esophagus from the chest to the throat.
counter-current	How am I supposed to do that now that I've seen a lot of doctors and said that anti-epidemiology medications are not going to do much good?
disgusting	It is disgusting to travel long distances in recent months. Are you sick? You've been fine since you were a kid, and you've been fine driving. In recent months, it's hard to travel long distances every month, to vomit, stomach strangulation, any relief? (Woman, 34 years old)
disgusting	It's been half an hour since I started to get sick.
burning sensation in the pharynx,hiccup,hunger,cough	Cough's got thugs, throat's got a fire. I went to the hospital twice. I took a month's medicine. The doctor asked about the stomach, but he didn't feel it, but he noticed it all the time. And often they don't feel very hungry, but they eat a lot.(Men, 32 years old)
hiccup	I've had a bad voice for over a month. I don't know. It's been more than ten days.
hiccup	When the hiccup was played, it felt something in the throat, but it didn't feel acid.
difficult eating	It became constipated 10 years ago after taking diet pills.
blood in stool	Hemorrhage in shit, once in two days, for a longer period (M, 33)
diarrhea,bowel sound	Why am I so hungry these days, my stomach is always grunting, and these days I've been having diarrhea.
hunger	I feel hungry, but I don't have any appetite.
hiccup	You know, Dr. Spring water, I'm in a situation where I've been trying to get a hiccup all these days, but I can't feel it in my chest and throat, and then I have to pull my finger down my throat to make myself sick.
abdominal distention	It doesn't feel like it doesn't feel like it's happening after every meal.
ventilation	No... it just sounds like it's trying to fart. I don't know what you're talking about.
stomach ache	What's with the stomachache bag?
stomach ache	It's been two months since the stomach ache for a while.
ventilation	Not many farts, hardly shitting once in a few days.
counter-current,ventilation,abdominal distention,gastrointestinal discomfort	I've been in the bathroom a few times a day, I've been in the bathroom a lot, I've been in the bathroom a lot, I've been in the bathroom for a long time, I've been in the intestinal mirrors, I've had no problems, I've been in the stomach, I've been in the gas, I've been in the gas, I've been in the gas, I've been in the gas last year.
gastrointestinal discomfort	And I'm not feeling well. I made a gastric mirror last year.
gastrointestinal dysfunction,diarrhea,loose stool	It's easy to take a tummy after breakfast, and it's hard to take a shit. There's nothing wrong with gastrointestinal mirrors. The doctor said it was a gastrointestinal disorder. Sometimes it's better to take some medicine.(Men, 47 years old)
diarrhea	I don't know what you're talking about.
stomach ache	How do you heal stomach pain?
stomach ache,gastrointestinal discomfort	That drug feels useful. Sometimes you don't know what to eat when you have a stomach ache.
stomach ache,gastrointestinal discomfort	Then ask me if I'm sick of my stomach after my normal meal. How should I feed my stomach with congee soup?
stomach ache	It's good to take it when your stomach hurts.
stomach ache	Is it too much gastric acid for a good stomach?
ventilation	It's like there's a lot of farts at night and shit's okay.
abdominal distention	Does it have anything to do with intestinal gas?
blood in stool	Shit bleeds and hurts.(Men, 22 years old)
hemorrhoid	I don't know what you're talking about.
diarrhea	Is diarrhea intestinal irritation instantaneous or a few hours later? (Men, 58 years old)
diarrhea	I've had intestinal irritation three times, diarrhea one more times a day, two more frequently, three rarely, four more rarely, mostly two to four hours after lunch, a few after lunch, very little after breakfast and dinner, very little diarrhea in the morning, never at night, and one after the last three consecutive dinners, isn't that intestinal irritation?
abdominal pain	Sometimes the excursion is accompanied by lower left abdominal pain and subsequent abdominal pain.
loose stool	Sometimes paste-like foams, sometimes not, and in a very few cases Hora his like big dung water.
diarrhea	Is it within the scope of intestinal irritation when it comes to diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, diarrhea, etc.?
diarrhea	Does diarrhea-type intestines make people less able to grow and lose weight?
diarrhea	Read your thesis. How should diarrhea be taken into account in the diet?
diarrhea,bowel sound	I drink pure sometimes milk very quickly, sometimes in two to four hours, and it's been a lot better in previous years, and it's not for the first half of this year, and now it's for a few times, even yogurt. I drink a box of yogurt after an hour and drink it twice. Furthermore, I don't know if I can't. Furthermore, I can't drink pure milk or even eat milk pancakes and even feel intestinal and sometimes diarrhea!
black poo	Excuse me, what's going on with the black poop?
abdominal pain	My dad drank iced water yesterday and at 9 p.m. he ate three buns. He had a stomach ache in the morning. He couldn't feel it.
disgusting	There's nausea, but it doesn't come out.
diarrhea	No diarrhea.
diarrhea	I've had diarrhea before. I haven't eaten in a few days, I've had diarrhea four times a day. What do I do now?
diarrhea	Before that, I've had this feeling of diarrhea in the last week, about four times a day.
abdominal pain	The pain in the upper belly, especially from afternoon to night, is accompanied by a small amount of fart, but it doesn't stink, it's been a week, it's a normal diet, but it's a little unbearable.
diarrhea,heat	Hello, Doctor. There's no diarrhea fever.
diarrhea	It turns out there's more or less food, it's cold, and it's almost non-formed. It's almost like a puncture, but it's not a piece anyway.
difficulty breathing,abdominal distention,gastrointestinal discomfort	It's hard to get a stomach swollen after eating a shoal. It's a little hard to breathe. What do we do?
abdominal distention	The stomach's swollen, the breathing's a little hard.
difficulty breathing	It's because of bronchitis that I used the thorium, which used to be difficult to breathe.
abdominal distention	I feel that it has something to do with stomach swollen. After dinner, the stomach swollen.
difficulty breathing,abdominal distention	If my stomach is not swollen, there will be no breathing difficulties. I won't have anything during the day. After dinner, my stomach will be swollen at 7 p.m., and it will be difficult to breathe and last for more than an hour.
abdominal distention	Can you recommend some medication for stomach swelling?
abdominal distention	You're in the digestive section. Give me some treatment for stomach swollen. I always have stomach swollen, and sometimes it stinks of poo.
diarrhea	I feel like I can't eat anything every day, sometimes it's constipation, always pulling at times.
abdominal pain	The right stomach, the right stomach.
diarrhea	I've had a lot of diarrhea, and it hurts when I have a diarrhea on the left side of the testicle.(Men, 45 years old)
diarrhea	As long as the testicles aren't feeling well, I'm sure they'll have a diarrhea in a minute.
diarrhea,abdominal pain	Why does it hurt when you're having a diarrhea? Usually, it's fine.
disgusting	I'm disgusting.
disgusting	Excuse me, doc, I'm sick of my ears ringing.
disgusting	Excuse me, doc, I wonder if vomiting is a stomach disease.
abdominal distention	I can't believe I'm here.
abdominal distention	What's going on with the stomach swelling?
frustration	Hey, you ate oysters last night, you had a bad stomach, you threw up this morning.
frustration	No, it's foot acid, no strength.
diarrhea	Two shits, no diarrhea, a lot better. Now it's leg sour. It's okay.
abdominal pain	Why does my belly ache make me feel like my belly a little ache sometimes feels around, but usually it feels like a belly ache?
abdominal pain	It's not every time it's a bellyache for almost a year, it's sometimes a stomach ache, sometimes a stomach ache, and sometimes it doesn't hurt.
diarrhea,abdominal pain	Ooh-ooh. Why, when I was in a bad mood for a week, I began to have an abdominal ache, but I didn't check for gynecology.
diarrhea,blood in stool	And then he took a test of poop and blood, and he did nothing, but he didn't do the colonoscopy. And then I didn't see it, I took a bunch of pills, or I had a diarrhea, and I don't even have a diarrhea anymore, and now I love it every once in a while.
disgusting	Hair tight, disgusting, I don't have any medicine to do.(Men, 18 years old)
disgusting	Because, head, tight, pain, nausea. No vomiting, just nauseous.
disgusting,gastrointestinal discomfort	It's not a stomach unwell feeling, but it's disgusting, and it's not vomiting.
heat	It's faint, but it doesn't have a fever.
gastrointestinal discomfort	I feel bad about my stomach. I've been tested before. Furthermore, I think there's stomach ulcers or ulcers.
hiccup,counter-current,back pain	He had a hard stomach after the meal, continued burps, back pains and fratricidal pains. Two months ago, he had stomach mirrors, stomach reflux, urchin.
hiccup	It doesn't hurt to get down or sit down, and it doesn't burp.
chest pain,gastrointestinal discomfort	About 145 pounds a year ago, about 142 February, less than 140 in May 135 in September, and more recently 132. Until about a year ago, I used to eat often bread, sometimes in the morning, sometimes in the evening, once or twice in a week, and rarely in the exercise. No bread has been eaten since 18 years, sometimes for months. It's starting to work out more often last month. My stomach is bad, my stomach is too acidic, my food is easily saturated for a long time, and my chest has a pain in the middle. When there are symptoms, there are medications. Is it reasonable for me to lose weight? Or is there a problem?
counter-current	What's the symptoms of anti-acids? It's okay for me not to eat bread after losing about 15 pounds a year and a half?
chest pain	Gastric fever doesn't seem to happen. Heat pain in the middle of the chest.
chest pain	How should I be treated? When I shrunk after dinner and the pain in my chest, I ate some ding and Opera, and for a few days there would be no symptoms.
stomach ache	By the way, it's been a little of a pain in the stomach lately.
stomach ache,gastrointestinal discomfort	Oh, this stomach ache is only this time, not before. So how long do you take these pills?
gastrointestinal discomfort	Right, like my stomach is bad, what breakfast should be in the morning. And eat well in the morning, but what do you eat good?
